mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id
1	1	0	0	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	0
1	1	2	2	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	1
1	1	0	0	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	2
1	1	2	2	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	3
1	1	0	0	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	4
1	1	2	2	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	5
1	1	0	0	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	6
1	1	2	2	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	7
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	8
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	9
2	2	4	4	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	10
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	11
2	2	4	4	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	12
2	2	6	6	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	13
2	2	4	4	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	14
2	2	6	6	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	15
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	16
3	3	10	10	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	17
3	3	11	11	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	18
3	3	8	8	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	19
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	20
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	21
3	3	8	8	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	22
3	3	10	10	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	23
3	3	11	11	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	24
3	3	8	8	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	25
3	3	10	10	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	26
3	3	11	11	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	27
4	4	12	12	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	28
4	4	13	13	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	29
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	30
4	4	12	12	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	31
4	4	13	13	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	32
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	33
4	4	12	12	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	34
4	4	13	13	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	35
4	4	14	14	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	36
4	4	12	12	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	37
4	4	13	13	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	38
4	4	14	14	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	39
5	5	16	16	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	40
5	5	16	16	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	41
5	5	16	16	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	42
5	5	16	16	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	43
6	6	20	20	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	44
6	6	22	22	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	45
6	6	23	23	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	46
6	6	20	20	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	47
6	6	22	22	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	48
6	6	23	23	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	49
6	6	20	20	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	50
6	6	22	22	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	51
6	6	23	23	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	52
6	6	20	20	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	53
6	6	22	22	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	54
6	6	23	23	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	55
7	7	24	24	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	56
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	57
7	7	24	24	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	58
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	59
7	7	24	24	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	60
7	7	26	26	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	61
7	7	24	24	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	62
7	7	26	26	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	63
8	8	28	28	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	64
8	8	29	29	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	65
8	8	30	30	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	66
8	8	31	31	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	67
8	8	28	28	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	68
8	8	29	29	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	69
8	8	30	30	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	70
8	8	31	31	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	71
8	8	28	28	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	72
8	8	29	29	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	73
8	8	30	30	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	74
8	8	31	31	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	75
8	8	28	28	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	76
8	8	29	29	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	77
8	8	30	30	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	78
8	8	31	31	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	79
9	9	32	32	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	80
9	9	34	34	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	81
9	9	35	35	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	82
9	9	32	32	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	83
9	9	34	34	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	84
9	9	35	35	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	85
9	9	32	32	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	86
9	9	34	34	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	87
9	9	35	35	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	88
9	9	32	32	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	89
9	9	34	34	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	90
9	9	35	35	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	91
10	10	36	36	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	92
10	10	37	37	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	93
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	94
10	10	36	36	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	95
10	10	37	37	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	96
10	10	38	38	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	97
10	10	36	36	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	98
10	10	37	37	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	99
10	10	38	38	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	100
10	10	36	36	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	101
10	10	37	37	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	102
10	10	38	38	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	103
11	11	40	40	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	104
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	105
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	106
11	11	40	40	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	107
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	108
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	109
